player,pos,CurrentPickEV,DraftRoomSamples,EvaluationSamples,PolicyCompletedRooms,CurrentPickEVSamples,ApproxSE,ImmediateValue,ScreenScore,SurviveNext,ScarcityCliff,UrgencyValue,InclusionReasons,CurrentPickEVVsBest,PairedSEVsBest
Rj Harvey,RB,2182.188232421875,24,64,24,1536,16.479364604665253,114.32758331298828,140.21450805664062,0.3515850007534027,14.707984924316406,74.1317138671875,top_rb,0.0,0.0
Makai Lemon,WR,2175.62353515625,24,64,24,1536,16.254824379184434,119.49465942382812,147.87400817871094,0.257009357213974,12.366989135742188,88.78340911865234,top_screen,-6.564697265625,8.842416958772972
Michael Pittman,WR,2170.604248046875,24,64,24,1536,16.26791744588123,116.6423568725586,142.04855346679688,0.2918919026851654,9.514686584472656,82.59539031982422,top_screen,-11.583984375,7.968557586328076
Lamar Jackson,QB,2169.989501953125,24,64,24,1536,14.407868544798102,104.02732849121094,149.6011962890625,0.0,39.13407897949219,104.02732849121094,"low_survival,top_qb,top_screen",-12.19873046875,8.402536205053709
Jayden Daniels,QB,2168.648681640625,24,64,24,1536,14.18817598142692,80.30396270751953,108.08531188964844,0.0,15.410713195800781,80.30396270751953,low_survival,-13.53955078125,8.33822589546479
Rhamondre Stevenson,RB,2168.206787109375,24,64,24,1536,16.185969103302526,94.02501678466797,117.5312728881836,0.0,0.0,94.02501678466797,low_survival,-13.9814453125,7.116057039863964
Tony Pollard,RB,2167.163330078125,24,64,24,1536,16.366473686418058,91.61692810058594,114.52116394042969,0.0,0.0,91.61692810058594,low_survival,-15.02490234375,7.698621198373649
Harold Fannin,TE,2165.98974609375,24,64,24,1536,16.206339807589078,136.828857421875,152.61776733398438,0.6170212626457214,5.376556396484375,52.40254211425781,"top_immediate,top_screen",-16.198486328125,8.3527690100284
Sam Laporta,TE,2164.903076171875,24,64,24,1536,15.917715065987531,138.1304473876953,167.83383178710938,0.23653845489025116,6.6781463623046875,105.45728302001953,"top_immediate,top_screen",-17.28515625,7.3798018296380485
Kyle Pitts,TE,2164.343017578125,24,64,24,1536,16.396160537226592,138.7410430908203,173.82591247558594,0.09354838728904724,7.2887420654296875,125.76203918457031,"low_survival,top_immediate,top_screen,top_te",-17.84521484375,7.486888466622901
Xavier Worthy,WR,2163.677001953125,24,64,24,1536,15.4974088161472,134.83566284179688,155.61666870117188,0.7945054769515991,27.707992553710938,27.707990646362305,"top_immediate,top_screen,top_wr",-18.51123046875,7.3990735196779855
Tucker Kraft,TE,2162.025146484375,24,64,24,1536,15.451575564632648,137.36434936523438,174.66146850585938,0.0,5.91204833984375,137.36434936523438,"low_survival,top_immediate,top_screen,top_te",-20.1630859375,8.240933348854472
Aaron Jones,RB,2161.518798828125,24,64,24,1536,15.54268235019612,112.42620849609375,122.03116607666016,0.8860887289047241,12.806610107421875,12.806612014770508,top_rb,-20.66943359375,7.3399291661555335
Patrick Mahomes,QB,2159.7421875,24,64,24,1536,14.995374357893558,86.84834289550781,108.78370666503906,0.49531251192092896,21.955093383789062,43.83127212524414,top_qb,-22.446044921875,8.094982995862196
Matthew Golden,WR,2158.800048828125,24,64,24,1536,16.314384257066507,124.63382720947266,138.1029510498047,0.8486430048942566,17.50615692138672,18.86420249938965,top_immediate,-23.38818359375,6.203335273662897
Josh Downs,WR,2158.699951171875,24,64,24,1536,16.71738768516972,119.08663177490234,138.23599243164062,0.5576369166374207,11.958961486816406,52.67953109741211,,-23.48828125,8.740065488870288
Jayden Reed,WR,2158.544189453125,24,64,24,1536,16.384356901620258,131.7486114501953,164.31097412109375,0.38513514399528503,24.620941162109375,81.00758361816406,"top_immediate,top_screen,top_wr",-23.64404296875,7.6717264605992455
Travis Kelce,TE,2158.206298828125,24,64,24,1536,16.40545566813943,135.4423370361328,141.3161163330078,0.8854489326477051,3.9900360107421875,15.515064239501953,"top_immediate,top_screen",-23.98193359375,7.873214271904454
Ricky Pearsall,WR,2157.92041015625,24,64,24,1536,14.576250709844373,101.15226745605469,111.01461029052734,0.6100000143051147,0.0,39.44938278198242,,-24.267822265625,8.792022015487364
Parker Washington,WR,2157.130615234375,24,64,24,1536,15.65606487226536,93.53229522705078,116.91536712646484,0.0,0.0,93.53229522705078,low_survival,-25.0576171875,7.778530701063693
Trevor Lawrence,QB,2156.946044921875,24,64,24,1536,14.855961481446364,71.26837158203125,88.96876525878906,0.18545454740524292,6.3751220703125,58.051326751708984,low_survival,-25.2421875,7.866008680213999
Wan'Dale Robinson,WR,2155.2333984375,24,64,24,1536,15.235145280160944,115.7008056640625,127.88993072509766,0.7267932295799255,8.573135375976562,31.61024284362793,,-26.954833984375,8.17091589045753
Dalton Kincaid,TE,2154.5380859375,24,64,24,1536,16.124442954375287,129.5232696533203,134.33888244628906,0.8512820601463318,0.0,19.262434005737305,top_immediate,-27.650146484375,7.650839457472583
Rico Dowdle,RB,2151.5068359375,24,64,24,1536,15.644105198920164,94.7775650024414,114.26731872558594,0.17745302617549896,0.0,77.95899963378906,low_survival,-30.681396484375,7.5816191563553295
Justin Herbert,QB,2146.713134765625,24,64,24,1536,14.57123838505186,62.72071838378906,77.17813110351562,0.07798165082931519,0.0,57.829654693603516,low_survival,-35.47509765625,8.12090444579925
Jake Ferguson,TE,2146.6240234375,24,64,24,1536,15.816167563877963,113.41728973388672,113.44564056396484,0.9990000128746033,0.0,0.11341582983732224,,-35.564208984375,8.57584861318868
